,Hand
38,"['3♣', '4♣', '3♥', '8♣', '5♦']"
39,"['J♥', 'K♣', '4♥', 'Q♥', '6♦']"
40,"['3♥', '8♦', '4♥', 'Q♥', '9♣']"
41,"['3♠', '6♣', '6♦', 'A♦', '2♠']"
42,"['10♦', 'A♥', '3♠', '7♥', 'K♦']"
43,"['3♠', 'K♣', '10♣', '5♠', '6♠']"
44,"['4♣', '5♦', 'K♦', 'J♦', '7♣']"
45,"['3♥', 'A♦', '10♦', '4♦', '8♣']"
46,"['7♥', '9♥', '9♦', '10♣', 'J♣']"
47,"['2♠', '7♠', 'K♥', '6♦', '2♦']"
48,"['4♦', '4♣', 'A♥', '5♥', 'K♠']"
49,"['8♣', '5♠', '7♥', 'Q♦', 'A♥']"
50,"['8♠', '2♣', '9♠', '6♦', 'J♣']"
51,"['6♣', '10♠', '8♠', '9♣', 'J♦']"
52,"['A♦', '10♠', '4♣', 'J♠', '9♣']"
53,"['6♣', '7♣', '3♥', '6♦', '2♦']"
54,"['10♣', '7♥', 'K♦', '7♦', '2♣']"
55,"['A♥', 'K♣', 'K♦', '2♠', '7♥']"
56,"['J♦', '7♣', '9♠', '3♠', '3♣']"
57,"['4♣', '3♥', 'Q♦', '2♥', 'K♣']"
58,"['4♦', 'Q♥', 'K♦', 'Q♠', '9♣']"
59,"['3♣', '4♦', 'A♦', '2♣', 'Q♣']"
60,"['A♥', '7♦', '8♥', 'J♠', '10♠']"
61,"['8♣', 'J♣', 'K♣', '2♠', '3♦']"
62,"['4♣', 'J♣', 'K♥', '8♣', '3♦']"
63,"['3♠', 'Q♥', '10♦', '2♠', 'A♥']"
64,"['4♦', '2♥', '9♦', 'J♣', 'J♥']"
65,"['2♥', '7♣', 'J♣', '3♣', '2♦']"
66,"['K♦', '7♠', '7♥', '5♣', '4♥']"
67,"['6♣', '8♦', '10♠', 'K♣', '2♦']"
68,"['7♠', '9♥', '8♦', '10♥', 'K♦']"
69,"['3♠', '9♦', '3♥', '10♦', '5♠']"
70,"['9♦', 'K♣', '3♦', '5♠', '9♠']"
71,"['J♣', 'K♠', '3♠', '10♣', '7♥']"
72,"['A♦', '6♠', '4♠', '8♦', '9♣']"
73,"['7♣', '7♠', '9♠', '3♠', '9♦']"
74,"['8♥', '2♠', '8♣', '2♦', '9♣']"
75,"['3♥', '9♦', '6♥', 'K♥', 'K♦']"
76,"['9♥', 'A♥', '7♠', '8♣', '9♠']"
77,"['A♥', '3♦', '9♦', '6♥', '10♦']"
78,"['8♣', '2♠', '7♣', '4♣', '9♠']"
79,"['J♥', '9♥', '5♠', '10♥', '6♦']"
80,"['5♥', '7♦', '9♠', 'Q♥', '2♠']"
81,"['6♠', '8♦', '8♣', '5♠', '4♣']"
82,"['2♥', 'A♦', 'Q♣', '3♥', 'J♠']"
83,"['J♠', '4♠', '6♣', 'K♣', '9♣']"
84,"['A♥', '6♠', '10♥', '9♠', '2♥']"
85,"['6♣', '7♠', '7♦', '10♥', '8♠']"
86,"['5♣', '5♠', '6♥', '7♥', '8♠']"
87,"['Q♦', 'A♥', '7♣', 'K♥', '8♠']"
88,"['10♠', '2♠', 'A♥', '9♥', '9♣']"
89,"['6♥', 'A♦', 'Q♠', 'Q♥', '2♥']"
90,"['J♦', '3♣', '4♠', '10♠', '9♣']"
91,"['9♦', '10♠', '10♣', 'Q♦', '7♠']"
92,"['6♠', '3♣', 'K♣', '3♥', 'Q♦']"
93,"['9♠', 'K♠', '9♥', '6♣', '2♠']"
94,"['6♥', '8♦', '4♥', 'A♥', 'Q♣']"
95,"['7♦', '9♥', '2♠', '10♥', '8♣']"
96,"['K♦', 'Q♣', '7♣', 'J♠', '4♥']"
97,"['10♠', '2♠', '8♦', '8♠', 'J♥']"
98,"['Q♣', '10♦', 'J♦', '7♥', '10♠']"
99,"['9♥', 'Q♣', '4♠', '9♠', 'A♦']"
100,"['K♣', '6♦', 'J♦', '7♥', '2♦']"
101,"['3♦', '6♠', '4♥', 'K♣', '7♠']"
102,"['10♠', 'A♦', '4♥', '7♣', '6♦']"
103,"['Q♠', '9♦', '4♠', '10♥', 'J♦']"
104,"['4♦', '2♠', '5♠', 'J♦', 'K♣']"
105,"['3♣', '10♦', '6♦', 'K♦', '8♥']"
106,"['Q♦', 'K♦', 'J♠', '7♣', '6♣']"
107,"['7♥', '6♠', '5♠', 'Q♥', '3♦']"
108,"['4♠', 'J♣', 'J♠', '2♣', '9♦']"
109,"['K♠', '2♦', 'J♣', '3♦', '3♠']"
110,"['6♥', '8♦', 'Q♠', '6♦', '8♣']"
111,"['10♥', 'Q♠', '9♣', '6♥', '2♦']"
112,"['3♦', '2♠', 'Q♣', '10♣', '4♣']"
113,"['6♦', 'K♥', '6♣', '10♦', '10♥']"
114,"['3♥', '8♥', '4♥', '4♣', '2♣']"
115,"['10♦', '6♦', '4♥', '4♠', '10♥']"
116,"['A♦', 'Q♦', '4♦', 'K♥', 'J♣']"
117,"['K♦', 'Q♥', 'Q♣', '9♦', '8♦']"
118,"['6♠', '7♠', '8♥', '8♦', '4♦']"
119,"['5♣', '7♦', '3♣', '3♥', 'Q♦']"
120,"['2♥', 'J♥', 'J♣', '6♣', '2♠']"
121,"['7♥', '2♣', '10♥', '6♥', '10♦']"
122,"['7♥', '9♣', '9♥', '10♠', 'A♣']"
123,"['Q♥', 'A♦', 'K♥', '3♣', 'K♠']"
124,"['3♠', '10♦', 'Q♥', '4♦', 'K♦']"
125,"['4♥', 'A♥', '4♦', 'J♥', 'A♦']"
126,"['5♦', '10♣', '7♠', 'J♥', '6♣']"
127,"['9♥', '2♣', 'K♣', '7♠', '5♣']"
128,"['Q♣', '9♥', '4♥', '8♥', '8♦']"
129,"['3♣', 'J♦', 'A♣', '6♦', '6♠']"
130,"['4♥', '9♦', '8♣', '2♣', '6♠']"
131,"['7♠', '6♥', '8♠', 'Q♦', '7♣']"
132,"['Q♠', '2♣', '5♦', 'K♥', '3♣']"
133,"['5♥', '6♠', '2♦', '7♦', 'J♠']"
134,"['2♥', 'Q♥', '4♣', '6♠', '9♠']"
135,"['3♥', '2♠', '4♥', 'K♦', 'Q♣']"
136,"['K♠', '3♣', '8♦', 'J♥', '6♣']"
137,"['9♠', '8♦', '9♦', 'Q♣', 'K♣']"
138,"['6♥', '3♠', '9♣', '10♥', '2♠']"
139,"['9♥', '2♠', '3♣', 'Q♣', '8♠']"
140,"['9♥', 'J♣', 'K♥', '8♣', '8♠']"
141,"['8♣', '4♥', '2♣', 'Q♠', '3♦']"
142,"['8♦', '2♣', 'A♣', 'K♠', '3♥']"
143,"['8♠', '10♠', 'Q♠', '9♠', '9♣']"
144,"['Q♦', '6♣', '8♦', '9♦', 'A♣']"
145,"['8♦', '8♠', 'A♦', 'J♣', '4♣']"
146,"['9♦', '7♠', '3♦', 'Q♣', 'A♥']"
147,"['7♥', 'A♦', 'K♠', '3♦', '5♦']"
148,"['K♦', '7♥', '9♠', '8♣', 'K♠']"
149,"['10♠', '5♥', '2♠', 'A♥', '8♦']"
150,"['J♥', 'Q♥', '4♠', '7♦', '4♥']"
151,"['9♠', '2♠', '7♦', '2♥', '2♦']"
152,"['7♦', '4♦', '7♠', '9♥', 'J♣']"
153,"['3♦', '8♣', '7♦', 'A♣', '4♥']"
154,"['5♠', '2♦', '9♥', '7♥', '3♠']"
155,"['8♠', '7♣', 'Q♣', '3♦', '9♦']"
156,"['9♥', '8♠', '2♣', '8♥', '4♣']"
157,"['7♦', '3♦', 'Q♣', 'K♣', '6♦']"
158,"['7♥', '2♠', '6♣', '10♥', '10♣']"
159,"['A♣', '6♦', '9♣', '10♦', '6♠']"
160,"['K♣', '5♦', '3♦', '7♦', '2♦']"
161,"['4♣', '2♣', '9♦', '3♣', 'K♠']"
162,"['Q♦', '6♥', '2♠', '8♦', 'J♠']"
163,"['4♦', '9♥', 'K♦', '5♣', '3♣']"
164,"['J♥', 'Q♥', '10♣', '10♥', '9♦']"
165,"['10♥', 'Q♣', '10♣', '7♥', '6♦']"
166,"['7♥', '8♠', 'A♣', '9♠', '7♠']"
167,"['7♦', 'A♥', '10♦', '5♦', '9♦']"
168,"['9♠', 'A♦', '5♥', '9♥', '5♣']"
169,"['J♦', 'J♣', '6♠', '9♥', 'Q♠']"
170,"['9♦', '7♣', '10♠', '4♥', '2♣']"
171,"['10♦', '8♥', 'A♥', '7♦', '9♣']"
172,"['4♦', '3♥', '8♣', 'J♥', '5♣']"
173,"['J♦', 'Q♠', '4♦', 'Q♥', '9♥']"
174,"['J♠', '9♣', '7♠', '5♣', '10♠']"
175,"['K♦', '9♦', '3♦', '5♦', '8♠']"
176,"['K♦', 'Q♥', 'K♠', '10♥', '2♦']"
177,"['2♠', 'A♥', 'Q♠', '8♦', '6♥']"
178,"['8♥', '4♥', '8♠', 'Q♥', '9♠']"
179,"['9♠', '7♥', '8♠', 'J♣', 'Q♣']"
180,"['2♣', 'Q♥', '10♥', '10♠', 'J♣']"
181,"['6♣', 'A♦', '4♦', 'J♦', '2♣']"
182,"['Q♥', 'J♠', '9♥', '2♥', 'Q♦']"
183,"['10♥', '8♥', 'J♦', '8♠', 'J♠']"
184,"['2♠', 'A♣', '4♥', 'Q♥', '5♥']"
185,"['A♥', 'Q♣', '10♦', '6♣', 'Q♠']"
186,"['5♦', '6♠', 'J♥', 'J♣', '4♠']"
187,"['6♣', 'K♥', '3♥', 'Q♥', 'A♣']"
188,"['4♣', 'Q♦', '3♠', '8♦', '4♦']"
189,"['8♠', 'Q♠', '8♣', 'Q♥', '2♥']"
190,"['3♦', '2♦', 'Q♦', 'J♦', '4♥']"
191,"['2♥', 'K♣', '9♦', '5♣', '9♣']"
192,"['9♥', 'J♥', '9♦', '4♦', '10♦']"
193,"['J♣', 'K♣', 'A♣', '2♠', 'K♥']"
194,"['Q♥', '9♠', '8♣', '10♣', 'K♦']"
195,"['6♥', '4♥', 'Q♦', '2♣', 'J♦']"
196,"['4♥', 'J♥', '6♥', '10♦', '6♦']"
197,"['A♣', 'J♦', 'J♠', '4♠', '5♠']"
198,"['3♠', '3♥', '3♣', 'Q♥', '7♣']"
199,"['4♥', 'A♥', '9♠', '10♠', 'J♥']"
200,"['10♠', '9♣', '9♦', 'J♠', '2♦']"
201,"['7♦', '8♦', 'A♥', '9♦', '6♦']"
202,"['K♥', '2♠', '4♥', '6♣', '2♦']"
203,"['6♣', '10♦', 'J♦', 'K♥', 'K♦']"
204,"['9♠', '8♥', '5♥', 'A♦', '6♦']"
205,"['K♥', '10♦', '5♣', '3♦', '8♥']"
206,"['9♥', '5♣', '2♣', '7♠', '6♠']"
207,"['4♠', 'J♥', '10♥', '9♣', '8♠']"
208,"['6♠', '4♣', 'J♥', '2♦', '8♠']"
209,"['2♥', '5♦', '7♥', 'J♦', '8♥']"
210,"['4♠', '10♦', 'K♦', 'J♣', '4♦']"
211,"['Q♣', '4♥', 'Q♦', '3♦', '10♦']"
212,"['4♦', 'K♦', 'K♣', '2♣', '3♦']"
213,"['5♠', '4♥', '8♥', '10♣', '8♣']"
214,"['K♠', '2♣', 'A♦', '9♠', 'J♦']"
215,"['7♦', '10♥', '4♦', '6♥', '4♣']"
216,"['K♥', '2♣', 'K♠', 'K♦', '5♦']"
217,"['Q♦', '4♥', '8♦', '9♠', '10♣']"
218,"['10♦', 'Q♥', '6♦', '4♥', '2♦']"
219,"['4♠', '2♦', 'K♠', '10♣', '4♣']"
220,"['5♦', '10♣', 'J♦', '4♣', 'J♠']"
221,"['2♣', '4♥', '6♠', '3♣', '7♦']"
222,"['K♥', '10♠', 'K♦', '3♠', '10♦']"
223,"['10♦', 'Q♦', '2♥', 'K♥', '3♣']"
224,"['2♦', '5♥', '7♥', 'Q♦', 'K♥']"
225,"['Q♣', '9♠', 'J♣', '7♣', '10♣']"
226,"['10♥', '9♦', 'Q♣', '7♦', '3♣']"
227,"['5♠', '3♣', '10♦', 'A♣', 'A♥']"
228,"['7♠', '3♣', '7♥', '6♣', 'A♣']"
229,"['9♥', 'J♥', '4♥', '4♣', '10♦']"
230,"['7♣', '10♦', '6♣', '5♥', '2♠']"
231,"['2♦', '7♣', 'J♥', '7♥', 'K♣']"
232,"['9♥', 'J♥', '6♣', '10♥', '8♦']"
233,"['4♠', '10♥', 'A♣', '4♦', '7♠']"
234,"['10♠', 'J♣', 'Q♦', '5♥', '8♣']"
235,"['Q♦', '9♠', 'J♠', '2♣', '9♦']"
236,"['5♠', 'J♣', '9♣', '6♣', 'A♦']"
237,"['7♣', '4♥', 'Q♦', '3♠', '9♣']"
238,"['Q♠', 'Q♦', '2♣', '7♣', '7♦']"
239,"['Q♦', '10♣', '4♦', '7♠', '5♠']"
240,"['9♥', '4♦', '10♥', '2♠', 'A♦']"
241,"['5♣', '4♣', '8♦', '4♥', '5♥']"
242,"['5♠', 'Q♠', 'K♠', '9♠', 'Q♣']"
243,"['4♣', '4♥', '3♥', 'K♥', '7♥']"
244,"['Q♦', '3♣', '7♦', '8♠', '10♥']"
245,"['Q♥', '5♦', '6♠', '5♣', '7♥']"
246,"['7♣', '3♣', 'K♥', 'J♦', '4♦']"
247,"['2♠', 'Q♦', 'A♥', '6♥', '3♥']"
248,"['7♥', '9♦', 'A♦', '2♣', 'J♠']"
249,"['4♥', 'J♦', 'A♣', '6♥', '9♦']"
250,"['9♥', '7♦', '5♠', '6♣', '5♥']"
251,"['10♥', '10♣', '9♥', '3♣', '3♥']"
252,"['4♠', 'A♥', '8♦', '7♠', '3♠']"
253,"['8♠', 'Q♠', '8♦', 'K♦', 'J♥']"
254,"['8♦', '7♣', '10♠', '9♦', 'J♠']"
255,"['9♥', '3♥', '6♥', '5♠', '10♥']"
256,"['10♠', '6♥', '8♥', '6♦', '2♦']"
257,"['8♦', '5♣', 'J♠', 'K♣', '6♣']"
258,"['2♠', '8♥', '8♠', 'J♥', '10♦']"
259,"['A♣', '10♣', 'K♠', 'A♥', '7♣']"
260,"['8♦', '4♦', 'K♥', 'Q♦', '2♥']"
261,"['3♦', '6♣', '9♣', '2♣', '8♥']"
262,"['5♠', '3♦', '4♠', '7♠', '10♠']"
263,"['Q♠', 'A♣', '3♦', '10♣', '8♠']"
264,"['3♥', '7♦', '2♣', '5♣', 'K♦']"
265,"['K♣', 'Q♣', '10♣', '6♠', '10♦']"
266,"['Q♦', 'K♦', '10♦', 'K♥', '3♣']"
267,"['9♦', '8♠', 'Q♦', '4♣', 'J♥']"
268,"['A♦', 'Q♦', '6♠', 'K♥', '10♦']"
269,"['9♦', 'J♣', '2♣', '9♥', 'Q♦']"
270,"['Q♠', '8♦', '3♥', '4♥', '9♥']"
271,"['4♣', '9♣', 'J♦', '6♦', '3♦']"
272,"['7♦', '5♥', '6♣', '10♦', 'K♣']"
273,"['5♠', 'Q♦', '3♣', '7♠', '10♣']"
274,"['K♣', '7♥', '9♦', '2♦', '5♦']"
275,"['7♠', '7♦', '10♣', '10♦', '8♣']"
276,"['K♣', '6♣', 'K♦', '4♥', '2♦']"
277,"['4♦', 'A♦', '5♦', 'J♦', 'Q♣']"
278,"['4♥', 'J♥', 'Q♥', '6♠', 'Q♦']"
279,"['3♦', '7♦', 'K♣', 'A♥', '9♥']"
280,"['7♣', '6♠', '5♥', '2♣', 'A♥']"
281,"['Q♠', '7♣', 'K♠', 'J♣', 'J♠']"
282,"['9♦', 'K♠', '10♥', '7♣', '10♣']"
283,"['9♦', 'J♥', 'J♦', '7♦', 'Q♥']"
284,"['9♦', '10♣', 'J♦', 'Q♠', '6♥']"
285,"['Q♣', '7♦', '7♥', 'Q♦', '10♠']"
286,"['8♠', 'A♣', '10♦', 'A♦', '3♥']"
287,"['3♥', '10♠', '9♥', 'J♥', '5♥']"
288,"['Q♥', '9♠', '3♠', 'Q♣', 'K♠']"
289,"['4♦', '8♦', '2♦', '2♥', '6♠']"
290,"['3♠', 'K♦', 'K♠', '6♦', 'A♥']"
291,"['8♥', '7♣', '4♣', '8♦', 'Q♥']"
292,"['K♣', '10♦', 'K♥', '5♣', '3♥']"
293,"['K♥', '8♦', '3♥', '2♠', '10♥']"
294,"['7♦', '4♥', '5♣', '5♦', '2♥']"
295,"['5♣', 'K♦', '4♣', 'Q♣', '3♥']"
296,"['J♦', '7♠', '9♥', '5♣', 'A♦']"
297,"['K♣', 'A♦', '2♥', '9♦', '2♣']"
298,"['10♥', '7♣', 'A♦', '5♥', 'Q♠']"
299,"['4♣', 'J♣', '7♣', '3♦', '5♠']"
300,"['K♦', '7♣', 'A♦', '9♥', '7♥']"
301,"['5♥', '8♥', 'J♥', '2♣', 'A♦']"
302,"['4♣', '5♣', '7♠', 'J♥', '6♥']"
303,"['10♥', '7♠', 'J♥', '7♣', '6♥']"
304,"['10♣', 'K♥', 'A♥', '8♠', 'Q♥']"
305,"['9♦', 'K♥', 'Q♠', 'Q♦', '2♥']"
306,"['8♦', 'Q♥', '4♣', '7♣', '6♦']"
307,"['10♦', 'K♥', 'J♣', '4♥', '6♥']"
308,"['K♦', '2♦', '3♠', 'K♠', 'Q♣']"
309,"['6♦', '9♦', '7♦', '2♣', 'K♥']"
310,"['10♣', '3♦', '7♣', '3♥', '8♣']"
311,"['4♠', '5♦', '8♦', '10♠', '8♥']"
312,"['9♦', '5♦', 'Q♦', 'K♠', '4♠']"
313,"['10♦', '5♠', '9♥', 'J♥', '3♣']"
314,"['4♣', 'A♥', 'K♣', '9♥', 'K♠']"
315,"['4♣', '6♥', 'A♦', 'J♣', '2♣']"
316,"['8♠', '10♥', 'K♣', '5♥', '3♦']"
317,"['4♠', 'K♦', '7♠', '9♦', 'Q♥']"
318,"['9♠', '7♠', '3♥', '8♣', '10♠']"
319,"['8♣', '9♦', '2♥', '2♦', '6♣']"
320,"['9♦', '5♣', 'Q♥', 'Q♦', 'J♠']"
321,"['2♠', '9♥', 'J♥', '6♦', 'Q♥']"
322,"['K♣', '5♠', '10♥', '9♦', '6♠']"
323,"['5♦', '4♣', 'Q♥', '3♣', '6♦']"
324,"['J♣', '3♦', '7♠', '4♦', '4♥']"
325,"['2♣', '2♦', '8♦', '6♣', '5♠']"
326,"['8♠', '2♦', '2♠', '5♥', '9♥']"
327,"['A♥', 'J♥', '9♦', '8♦', '9♥']"
328,"['Q♥', 'J♥', '8♠', '9♦', '5♣']"
329,"['2♥', 'Q♣', '6♣', '2♦', '4♠']"
330,"['3♠', '7♣', '5♠', '9♠', 'K♠']"
331,"['K♠', '2♠', '8♥', 'A♥', '8♠']"
332,"['10♠', 'Q♣', '9♦', '4♠', '2♦']"
333,"['K♠', '7♣', '2♦', 'A♦', '6♣']"
334,"['5♣', '8♥', 'K♣', '8♠', 'K♦']"
335,"['7♦', 'Q♦', 'K♥', 'A♣', '2♣']"
336,"['K♣', '3♥', '3♦', 'K♠', 'Q♦']"
337,"['5♦', '8♥', '2♥', '7♥', '10♥']"
338,"['7♠', '6♣', '4♣', 'A♦', '4♦']"
339,"['10♣', '9♣', '7♥', '10♦', '5♦']"
340,"['10♣', '10♥', 'A♣', '7♠', '2♣']"
341,"['4♣', '7♣', '3♥', '8♠', '5♠']"
342,"['2♦', '8♣', '3♠', 'K♠', 'K♦']"
343,"['5♣', '8♦', '10♣', 'A♦', '4♦']"
344,"['A♣', '3♥', '10♥', '8♥', '10♣']"
345,"['4♣', '5♦', '6♠', 'K♠', 'Q♦']"
346,"['8♦', '10♥', '10♣', '5♣', 'J♠']"
347,"['7♦', 'K♣', 'K♦', '7♥', 'K♠']"
348,"['4♠', '6♥', '8♠', 'J♦', '5♣']"
349,"['A♥', '10♦', '8♦', '5♦', '5♣']"
350,"['A♥', '4♠', 'K♠', 'K♣', 'K♥']"
351,"['3♠', '10♦', 'J♠', '6♥', '8♠']"
352,"['7♥', '6♠', 'K♣', '8♦', 'K♠']"
353,"['J♦', 'K♣', '10♣', '3♥', 'A♣']"
354,"['9♥', '7♥', 'Q♥', 'J♠', 'Q♠']"
355,"['7♠', 'J♠', '8♠', '9♥', '10♥']"
356,"['J♠', '8♠', 'J♣', '7♠', '10♠']"
357,"['2♥', 'J♥', '7♦', '8♠', '7♥']"
358,"['2♠', '10♣', '5♥', 'J♥', '7♣']"
359,"['8♣', '6♣', 'J♣', '5♥', '9♥']"
360,"['3♣', '3♥', '9♥', '9♦', '5♣']"
361,"['2♥', '4♠', 'K♣', '5♠', '10♣']"
362,"['10♦', '3♦', '9♣', '3♥', '2♦']"
363,"['4♥', '5♥', '6♠', '6♦', 'A♥']"
364,"['K♣', '4♥', 'K♠', '2♥', '8♣']"
365,"['2♣', '5♠', '2♠', 'Q♦', '3♦']"
366,"['9♦', '9♥', 'J♥', '3♦', '2♠']"
367,"['Q♠', 'J♠', 'Q♥', '9♠', '7♥']"
368,"['K♥', 'Q♣', '2♦', 'J♦', 'J♣']"
369,"['2♣', '9♦', '10♦', 'J♣', '2♥']"
370,"['3♦', 'Q♠', 'A♦', '3♣', '6♠']"
371,"['6♥', '6♣', 'J♦', '4♥', '6♦']"
372,"['6♦', '8♠', '2♥', '7♣', '9♣']"
373,"['5♥', '4♥', 'A♣', '9♦', '2♥']"
374,"['J♥', '10♠', '10♦', '4♣', '2♠']"
375,"['8♣', 'J♠', '2♣', 'Q♦', 'Q♠']"
376,"['2♣', '4♦', '6♦', '8♠', '8♣']"
377,"['9♣', '4♥', 'Q♠', '6♠', '3♥']"
378,"['5♥', '4♣', '3♣', 'J♣', '9♠']"
379,"['A♦', 'Q♥', '2♦', '9♥', '4♦']"
380,"['J♥', 'Q♣', 'K♥', '4♦', 'K♦']"
381,"['5♣', '3♣', '9♥', 'Q♦', '2♦']"
382,"['7♠', '10♦', 'K♦', 'J♦', 'J♣']"
383,"['Q♠', '10♣', '7♣', '2♥', 'J♣']"
384,"['8♣', '2♦', '8♥', 'K♣', 'J♠']"
385,"['3♥', '2♠', '8♣', 'J♠', '10♠']"
386,"['9♦', '7♣', '4♠', 'K♥', 'K♣']"
387,"['9♦', '6♣', 'J♠', '8♣', '5♣']"
388,"['3♥', '10♦', '7♦', 'Q♣', '4♠']"
389,"['3♣', '10♣', '9♥', '9♦', '5♠']"
390,"['K♦', '7♦', 'J♠', 'K♠', '5♦']"
391,"['J♦', '2♠', '9♠', '4♠', '3♦']"
392,"['4♣', 'J♦', '9♦', '9♣', '10♠']"
393,"['7♣', 'Q♦', 'K♠', '6♥', '8♠']"
394,"['5♥', '2♥', '6♣', '7♥', '10♥']"
395,"['10♠', '7♦', 'K♥', '6♦', 'J♣']"
396,"['6♣', '6♥', 'K♥', 'J♦', '7♦']"
397,"['6♦', 'Q♠', '5♣', '5♦', '7♥']"
398,"['3♠', '9♠', '9♥', '5♦', '5♠']"
399,"['A♣', 'K♥', 'K♠', 'K♣', '7♣']"
400,"['2♥', '4♦', '6♦', '6♣', '9♠']"
401,"['7♠', 'A♦', 'J♥', '9♥', '4♣']"
402,"['K♣', '7♣', '8♦', '10♥', '6♦']"
403,"['7♥', '6♦', '9♦', '3♣', '8♠']"
404,"['6♠', 'Q♥', 'K♦', '8♣', '5♠']"
405,"['4♣', 'Q♣', '7♦', '2♣', '8♥']"
406,"['Q♠', 'A♣', 'A♦', '3♣', '8♦']"
407,"['K♣', '6♣', '8♦', '9♣', '3♦']"
408,"['2♣', '5♥', 'J♥', '7♥', 'Q♣']"
409,"['9♦', '10♦', '5♣', '9♠', '9♣']"
410,"['10♥', '9♥', 'J♦', '4♠', '5♦']"
411,"['3♦', 'K♣', '3♥', 'A♦', 'Q♣']"
412,"['6♦', '6♥', 'A♣', '4♣', 'A♥']"
413,"['2♦', '3♥', 'Q♥', 'J♣', '7♦']"
414,"['7♥', '8♣', 'K♥', 'Q♥', '3♣']"
415,"['K♦', '7♥', 'K♠', '9♣', 'J♦']"
416,"['J♥', 'A♦', 'J♦', '7♦', '4♦']"
417,"['4♥', '9♥', '2♥', '3♥', '9♣']"
418,"['J♦', '9♦', '5♠', 'Q♦', '3♣']"
419,"['10♥', '4♠', '7♦', '2♦', 'Q♠']"
420,"['10♠', '5♠', 'K♥', '7♣', '4♥']"
421,"['4♠', '7♠', 'Q♠', '8♣', 'K♦']"
422,"['A♥', '6♥', 'J♥', '3♠', '9♣']"
423,"['2♣', 'J♥', '2♥', 'Q♠', '2♦']"
424,"['6♠', 'Q♦', 'J♥', '6♣', 'K♦']"
425,"['4♦', '10♥', '3♥', '3♦', '8♦']"
426,"['5♠', '7♠', '6♣', 'J♦', 'J♣']"
427,"['6♦', '6♥', 'K♦', 'K♠', '5♦']"
428,"['8♦', '8♥', '6♦', '7♣', 'Q♥']"
429,"['4♦', 'K♥', '4♥', '5♦', 'K♦']"
430,"['9♦', '5♦', 'A♥', '5♠', '7♠']"
431,"['7♦', '2♦', 'K♣', 'J♥', 'Q♥']"
432,"['9♠', '7♦', '8♠', 'A♣', '2♦']"
433,"['5♣', '4♦', '7♠', '9♠', '7♦']"
434,"['6♦', '7♠', '5♠', '5♦', 'K♠']"
435,"['K♠', '9♣', 'K♦', 'A♣', 'Q♣']"
436,"['6♦', '9♠', '6♠', '8♥', '3♠']"
437,"['J♦', '8♥', '4♠', '5♠', '3♠']"
438,"['10♠', 'J♦', '2♣', '4♣', 'K♣']"
439,"['9♠', '5♥', '2♦', '4♦', '2♥']"
440,"['J♣', '9♠', 'A♥', '7♦', '10♠']"
441,"['10♦', '6♠', 'Q♣', '9♣', '2♠']"
